"ITL,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,""2019"
"[note 1]"""
"ITL2,TLH3,Essex,""11,603"",""11,729"",""12,413"",""13,009"",""13,551"",""14,012"",""14,266"",""14,695"",""15,225"",""15,587"",""16,176"",""16,761"",""17,178"",""17,214"",""17,492"",""18,065"",""18,522"",""18,969"",""20,176"",""20,669"",""21,194"",""22,296"",""22,741"""
"ITL3,TLH31,Southend-on-Sea,""10,637"",""10,871"",""11,535"",""12,237"",""12,920"",""13,446"",""13,774"",""13,835"",""14,173"",""14,531"",""15,036"",""15,318"",""15,783"",""16,088"",""16,253"",""16,691"",""17,294"",""17,807"",""18,857"",""19,200"",""19,662"",""20,543"",""21,187"""
"ITL3,TLH32,Thurrock,""10,129"",""10,199"",""10,507"",""10,739"",""11,170"",""11,867"",""12,298"",""12,613"",""13,007"",""13,368"",""13,976"",""14,474"",""14,788"",""15,078"",""15,191"",""15,584"",""15,977"",""16,658"",""17,405"",""17,984"",""18,387"",""19,424"",""19,951"""
"ITL3,TLH36,Heart of Essex,""13,605"",""13,627"",""14,457"",""15,139"",""15,674"",""16,032"",""16,270"",""16,659"",""17,194"",""17,631"",""18,261"",""18,956"",""19,400"",""19,303"",""19,559"",""20,191"",""20,696"",""21,449"",""22,747"",""23,673"",""24,221"",""25,351"",""25,809"""
"ITL1,TLI,Greater London,""13,111"",""13,547"",""14,417"",""15,589"",""16,091"",""16,375"",""17,002"",""17,876"",""18,945"",""19,774"",""21,203"",""21,874"",""21,710"",""21,930"",""21,850"",""23,204"",""24,412"",""25,376"",""27,182"",""27,669"",""27,835"",""29,258"",""30,256"""
"ITL3,TLJ11,Wokingham,""13,782"",""14,029"",""14,432"",""15,485"",""15,586"",""16,014"",""16,279"",""16,653"",""17,302"",""17,978"",""19,218"",""19,579"",""19,615"",""19,531"",""19,944"",""20,706"",""21,558"",""22,029"",""23,357"",""23,841"",""24,296"",""25,178"",""25,912"""
"ITL3,TLJ11,Reading,""13,782"",""14,029"",""14,432"",""15,485"",""15,586"",""16,014"",""16,279"",""16,653"",""17,302"",""17,978"",""19,218"",""19,579"",""19,615"",""19,531"",""19,944"",""20,706"",""21,558"",""22,029"",""23,357"",""23,841"",""24,296"",""25,178"",""25,912"""
"ITL3,TLJ11,Slough,""13,782"",""14,029"",""14,432"",""15,485"",""15,586"",""16,014"",""16,279"",""16,653"",""17,302"",""17,978"",""19,218"",""19,579"",""19,615"",""19,531"",""19,944"",""20,706"",""21,558"",""22,029"",""23,357"",""23,841"",""24,296"",""25,178"",""25,912"""
"ITL3,TLJ11,Bracknell Forest,""13,782"",""14,029"",""14,432"",""15,485"",""15,586"",""16,014"",""16,279"",""16,653"",""17,302"",""17,978"",""19,218"",""19,579"",""19,615"",""19,531"",""19,944"",""20,706"",""21,558"",""22,029"",""23,357"",""23,841"",""24,296"",""25,178"",""25,912"""
"ITL3,TLJ11,Maidenhead,""13,782"",""14,029"",""14,432"",""15,485"",""15,586"",""16,014"",""16,279"",""16,653"",""17,302"",""17,978"",""19,218"",""19,579"",""19,615"",""19,531"",""19,944"",""20,706"",""21,558"",""22,029"",""23,357"",""23,841"",""24,296"",""25,178"",""25,912"""
"ITL3,TLJ11,Berkshire,""13,782"",""14,029"",""14,432"",""15,485"",""15,586"",""16,014"",""16,279"",""16,653"",""17,302"",""17,978"",""19,218"",""19,579"",""19,615"",""19,531"",""19,944"",""20,706"",""21,558"",""22,029"",""23,357"",""23,841"",""24,296"",""25,178"",""25,912"""
"ITL3,TLJ12,Milton Keynes,""11,125"",""11,274"",""11,667"",""12,367"",""12,716"",""13,469"",""13,713"",""14,477"",""14,993"",""15,463"",""16,246"",""16,679"",""16,659"",""17,031"",""17,099"",""17,494"",""17,820"",""18,358"",""19,639"",""20,038"",""20,665"",""21,649"",""22,116"""
"ITL3,TLJ13,Buckinghamshire,""14,935"",""15,218"",""15,823"",""16,825"",""17,456"",""17,813"",""17,899"",""18,653"",""19,322"",""20,681"",""21,500"",""22,049"",""22,520"",""22,463"",""22,674"",""23,286"",""24,016"",""24,777"",""26,469"",""27,122"",""27,592"",""28,387"",""29,044"""
"ITL3,TLJ14,Oxfordshire,""13,267"",""13,497"",""13,953"",""15,000"",""15,227"",""15,670"",""15,785"",""16,412"",""16,816"",""17,913"",""18,490"",""18,905"",""19,301"",""19,139"",""19,448"",""20,327"",""21,033"",""21,766"",""23,509"",""23,579"",""24,100"",""25,133"",""25,779"""
"ITL2,TLJ2,""Surrey, East and West Sussex"",""13,992"",""14,402"",""14,881"",""15,669"",""16,089"",""16,528"",""16,672"",""17,197"",""18,092"",""18,934"",""19,760"",""20,094"",""20,296"",""20,509"",""20,781"",""21,597"",""22,524"",""22,981"",""24,422"",""24,710"",""25,122"",""26,133"",""26,675"""
"ITL3,TLJ21,Brighton and Hove,""12,019"",""12,107"",""12,630"",""13,458"",""13,998"",""14,438"",""14,616"",""15,193"",""16,015"",""16,242"",""16,841"",""17,371"",""17,860"",""17,764"",""17,972"",""18,379"",""19,005"",""19,457"",""20,689"",""20,963"",""21,486"",""22,365"",""23,142"""
